College,County,State,2016,2017,2018,2019,2020
Stanford,Santa Clara,California,-6.594643,-7.052272,-6.244466,-5.684776,-7.151565
UC Berkeley,Alameda,California,-4.315531,-5.089661,,,
Santa Clara,Santa Clara,California,,,,,
Caltech,Los Angeles,California,,,,,
USC,Los Angeles,California,-5.39254661,-7.123968534,-3.919731934,-2.692837089,-5.143249232
University of Washington,King,Washington,,,,,
Harvey Mudd College,Los Angeles,California,,-0.07555,,,0.76118
Pomona College,Los Angeles,California,-5.927529752,-8.535499274,-8.483771217,-5.88084304,-7.08641926
UCLA,Los Angeles,California,,,,,
BYU,Utah,Utah,0.2800310748,2.320210324,1.889712313,2.347615414,1.088530322
Harvard,Middlesex,Massachusetts,-3.820909,-4.129395,-4.107001,-3.666681,-5.433845
Swarthmore,Delaware,Pennsylvania,-3.84,-5.94,-4.92,-6.6,-6.43
Wellesley,Norfolk,Massachusetts,-4.33,-8.59,-7.01,-8.59,-9.58
Dartmouth,Grafton,New Hampshire,-1.37,-0.67,1.05,-0.45,-2.53
Juilliard,New York,New York,0.9016586,-1.524115201,-1.428724437,-1.564233846,-2.719823526
Berklee,Suffolk,Massachusetts,,,,,
Brown,Providence,Rhode Island,-6.026915546,-8.408847711,-7.753286091,-7.035055468,-7.238564447
Tufts,Middlesex,Massachusetts,-3.818753915,-4.332455853,-2.744769862,-6.31155165,-6.979392802
Wesleyan,Middlesex,Connecticut,0.4857607963,1.116647927,1.598304303,1.403670487,0.3654145306
Middlebury,Addison,Vermont,-7.126556136,-6.576873105,-5.891277167,-4.97241025,-7.725297981
City College of New York,New York,New York,,,,-1.326257455,-0.9624738571
Boston College,Middlesex,Massachusetts,,,,,
Yale,New Haven,Connecticut,,,,,
West Point,Orange,New York,,,,,3.993674231
Hampton University ,Hampton City,Virginia,-1.157712045,-2.288168133,-0.671528069,-2.567969412,-1.765215857
UT Austin,Travis,Texas,,,,,
Liberty,Bedford,Virginia,,,,,
Emory,DeKalb,Georgia,,,,,
Rice,Harris,Texas,0.8700582901,0.6747627031,0.58746368,-0.1475097848,-0.1043468061
Georgia Tech,Fulton,Georgia,-2.28285394,-2.923332665,-2.009506344,-3.306010078,-2.880427703
UNC-Chapel Hill,Orange,North Carolina,-5.611409162,-5.05847045,-1.33341477,-3.411124718,-4.337586943
Duke ,Durham,North Carolina,-5.273534561,-6.008163944,-6.516377074,-5.654999354,-6.097214356
Vanderbilt,Davidson,Tennessee,-2.0407143,-3.162116016,-2.803362873,-1.266392719,-2.168320661
University of Virginia,Albemarle,Virginia,-1.209985101,-1.460718858,-0.7886853966,-0.6937905925,-2.332666565
University of Chicago,Cook,Illinois,-6.747072915,-8.551015325,-5.988391655,-5.451257061,-6.561401977
Northwestern,Cook,Illinois,-3.919767541,-5.565760099,-5.259952744,-4.757699336,-4.800962363
Truman,Jackson,Missouri,-0.377645163,0.0263598,0.9667493261,2.119633908,0.69191975
Grinnell ,Poweshiek,Iowa,-1.185886727,-4.055507071,-2.399279958,1.167840548,-0.4820103
DePaul,Cook,Illinois,,,,,
Kenyon,Knox,Ohio,-0.9997612968,-3.474272119,3.012477877,-2.51211699,-3.643569288
Illinois Wesleyan,McLean,Illinois,,17.3378265,-5.978340267,-0.7724559032,-0.1154115
"University of Nevada, Reno",Washoe,Nevada,-0.5535773147,-0.3980367717,-0.6167254842,-0.9397283333,-1.021638933
Urbana-Champaign,Champaign,Illinois,-1.499261928,-3.776440029,-1.879007683,-1.528325294,-3.371316427
University of Minnesota,Hennepin,Minnesota,-6.400059848,-4.907161363,-2.840435971,-2.218185639,-3.91872535
