 ,Name,Public / Private,Annual Tuition (2023),Undergraduate Population (2023),Acceptance rate (2021),Ranking (top 100 or not),Geographic location,Male : Female (ratio),Type of College,Owner,Scraper ,Data Collection,Analysis,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Bipartisan Slope,Bipartisan y-intercept,Ownership,County,State
region,name,publicprivate,tuition,population,acceptance,ranking,geo,male2female,college-type,owner, ,,,,,,,,,,,,,,,,,,ownership,County,State
us-west,Stanford,Private,"$57,692","7,761",4.34%,6,Suburban,49 : 51,Research,Theodore,TRUE,TRUE,TRUE,-0.933991,-1.649278,-3.162174,-3.544305,-5.180576,-6.166527,-6.594643,-7.052272,-6.244466,-5.684776,-7.151565,-6.981125,-5.677183,-1.537808106,2008.18996,Independent,Santa Clara,California
us-west,UC Berkeley,Public,"$43,980","32,143",17.50%,49,Urban,46 : 54,Research,Theodore,TRUE,TRUE,TRUE,,-1.956874,-2.125204,-4.115583,-3.317728,-3.306349,-4.315531,-5.089661,,,,,,,,Independent,Alameda,California
us-west,Santa Clara,Private,"$58,017","5,895",52.00%,n/a,Suburban,53 : 47,Catholic ,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,Independent,Santa Clara,California
us-west,Caltech,Private,"$58,479",901,6.70%,2,Suburban,65 : 35,Research,Ansh,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,Independent,Los Angeles,California
us-west,USC,Private,"$63,468","20,790",21.10%,43,Urban,46 : 54,Research,Alexander,TRUE,TRUE,TRUE,0.17639993,-0.03237762976,-1.903175925,-1.443932124,-2.522295699,-4.243743232,-5.39254661,-7.123968534,-3.919731934,-2.692837089,-5.143249232,-2.996033492,-0.4720818827,-0.2257762422,452.2641679,Independent,Los Angeles,California
us-west,University of Washington,Public,"$40,740","30,856",53.50%,n/a,Urban,45 : 55,Research,Ansh,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,Independent,King,Washington
us-west,Harvey Mudd College,Private,"$62,516",905,10%,28,Suburban,50 : 50,Science & Engineering,Ronnit,TRUE,TRUE,TRUE,,,,,,,,-0.07555,,,0.76118,0.151384,0.425327,,,Independent,Los Angeles,California
us-west,Pomona College,Private,"$59,238","1,764",6.60%,16,Suburban,45 : 55,Liberal Arts,Anishka,TRUE,TRUE,TRUE,-0.8458977557,-3.13890028,-3.193595714,-3.568493515,-2.70957912,-4.4015014,-5.927529752,-8.535499274,-8.483771217,-5.88084304,-7.08641926,-6.771481568,,-0.570279725,1144.353493,Independent ,Los Angeles,California
us-west,UCLA,Public,"$13,804","31,600",10.80%,35,Urban,44 : 56,Research,Ansh,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,Independent ,Los Angeles,California
